title,category,brand,description,starsBreakdown/3star,starsBreakdown/4star,starsBreakdown/5star,reviewsCount,average_rating,price/currency,price/value,categoryPageData/productPosition
"Valentines Day Gifts for Him Her,Cute Boyfriend Gifts,I Love You Gifts for Girlfriend,Valentines Day Gifts for Teens Kids,Anniversary Husband Wife Gifts,Anniversary Husband Wife Gifts",Other,SELORY,Tidak ada deskripsi,0.0,0.41,0.59,3,4.59,$,10.99,292
"JOYIN 60 Pcs Valentines Day Candy Holder Cards with Animal Designs, Valentine’s Cute Greeting Cards for Kids, Valentine Classroom Exchange Gifts, Party Favors (Zoo Animals)",Gift Card,JOYIN,Tidak ada deskripsi,0.08,0.19,0.5,38,4.545454545454545,$,6.99,302
"Hidreas 32 Pack Valentines Day Gifts for Kids Classroom, Valentines Day Cards for Kids with Crazy Straws for School Gifts Exchange Valentines Party Favors",Gift Card,Hidreas,Tidak ada deskripsi,0.05,0.08,0.84,49,4.814432989690721,$,19.99,303
"Valentines Day Flowers Roses Gifts for Her,16pcs Red Forever Preserved Roses in Heart Shape Gift Box,Valentines Day Delivery Prime Gifts-Roses Gifts for Women,Mom.",Flower,Roseshy,Tidak ada deskripsi,0.0,0.03,0.95,113,4.969387755102041,$,49.49,289
"Dunkin' Chocolates Heart Box Valentine's Day Gift with all new Strawberry Frosted Flavor, Boston Kreme, and Brownie Batter, by Frankford Candy",Chocolate,Frankford,"Delight your Valentine with something new this year, delicious donut flavored chocolates! Each giftable heart shaped box includes 5 oz of individually wrapped chocolates in three iconic Dunkin' donut flavors: Boston Kreme, Strawberry Frosted, and Brownie Batter. Boston Kreme includes a milk chocolate shell with Boston Kreme flavor filling, Brownie Batter includes a milk chocolate shell with Brownie Batter flavor filling, and Strawberry Frosted is a white chocolate shell with strawberry flavored filling. Makes the perfect Valentine's Gifts for kids, teens, and adults alike! By Frankford Candy",0.24,0.17,0.51,49,4.2934782608695645,$,12.5,274
AMENON 24 Pack Valentines Day Cards Gifts for Kids with Heart Shaped Glasses 4 Colors Valentine Card Sunglasses Toy Set for Girls Boys Kids Valentines Party Favors Classroom Exchange School Prize Game,Gift Card,AMENON,Tidak ada deskripsi,0.0,0.35,0.65,10,4.65,$,18.99,291
"Shemira 24 Packs Valentine's Day Cards for Kids with Flower Bouquet Building Blocks, School Classroom Valentine's Gifts Exchange, Valentine's Party Favors for Kids, Valentine's Gift Cards Bulk",Flower,Shemira,Tidak ada deskripsi,0.0,0.0,1.0,1,5.0,$,9.99,203
"DENIMOMO Valentines Day Rose Flowers Gifts for Her,Forever Preserved Roses in Glass Dome, Anniversary Birthday Real Roses Gifts for Women Wife Mom Girlfrien/Purple",Flower,DENIMOMO,Tidak ada deskripsi,0.06,0.11,0.79,178,4.760416666666667,$,49.99,290
YWHL Gifts for Wife with Colorful LED Base I Love You Gifts for Her from Husband Best Anniversary Birthday Wife Gift Ideas Romantic to My Wife Crystal Keepsakes Presents for Valentine's Day Christmas,Household Supplies,YWHL,Tidak ada deskripsi,0.03,0.09,0.84,854,4.843750000000001,$,37.99,297
"Valentines Day Gifts for Kids - 32 Pcs Valentines Crazy Straws Cards Gifts Reusable Straws for Kids, Valentines Day Cards for Kids Classroom Exchange Party Favor",Gift Card,mayace,"Package Included: 32 x Valentine crazy drinking straws 32 x Valentine cards Valentine Cards Size: 13 x 6.8 cm/ 5.12 x 2.68 inches Valentine Straws Size: 10.6 inches How To Use: 1. Choose a straw and cross it to a card; 2. Fill in 'From' and 'To'; 3. Then you can give them out to anyone you like.  Ideal Valentine Day Gifts:  Best for children's Valentine's Day, classroom exchange activities, gift exchange between friends, children's Valentine's Day party favors, and the best kit as a prize for kids.",0.11,0.15,0.62,26,4.579545454545455,$,11.99,294
"LWBDD 13"" Valentines Day Gift Bags 2 Pcs with Tissue Paper, valentine bag bulk for Birthday/Mother's day/Father's day (LOVE)",Household Supplies,LWBDD,2 Piece White Love Gift Bag for Valentine's Day Mother's Day and Father's Day Birthday Party,0.0,0.08,0.84,18,4.91304347826087,$,3.99,293
